Accepted intervals:
Rejected intervals:
([-0.05000000000000001, 0.05000000000000001] ; [-0.05000000000000001, 0.05000000000000001] ; [-0.05000000000000001, 0.05000000000000001] ; [1.2, 1.300000000000001] ; [-0.05000000000000001, 0.05000000000000001] ; [-0.05000000000000001, 0.05000000000000001] ; [2.390966373007813, 2.452625000000001] ; [0.9319462507812507, 1.023669828125001] ; [-0.05000000000000001, 0.05000000000000001])
([-0.05000000000000001, 0.05000000000000001] ; [-0.05000000000000001, 0.05000000000000001] ; [-0.05000000000000001, 0.05000000000000001] ; [1.2, 1.300000000000001] ; [-0.05000000000000001, 0.05000000000000001] ; [-0.05000000000000001, 0.05000000000000001] ; [2.082024687500001, 2.248794828125002] ; [1.023669828125, 1.115393405468751] ; [-0.05000000000000001, 0.05000000000000001])
([-0.05000000000000001, 0.05000000000000001] ; [-0.05000000000000001, 0.05000000000000001] ; [-0.05000000000000001, 0.05000000000000001] ; [1.2, 1.300000000000001] ; [-0.05000000000000001, 0.05000000000000001] ; [-0.05000000000000001, 0.05000000000000001] ; [2.082024687500001, 2.157071250781252] ; [1.11539340546875, 1.227500000000001] ; [-0.05000000000000001, 0.05000000000000001])
([-0.05000000000000001, 0.05000000000000001] ; [-0.05000000000000001, 0.05000000000000001] ; [-0.05000000000000001, 0.05000000000000001] ; [1.2, 1.300000000000001] ; [-0.05000000000000001, 0.05000000000000001] ; [-0.05000000000000001, 0.05000000000000001] ; [2.390966373007813, 2.452625000000001] ; [1.023669828125, 1.115393405468751] ; [-0.05000000000000001, 0.05000000000000001])
([-0.05000000000000001, 0.05000000000000001] ; [-0.05000000000000001, 0.05000000000000001] ; [-0.05000000000000001, 0.05000000000000001] ; [1.2, 1.300000000000001] ; [-0.05000000000000001, 0.05000000000000001] ; [-0.05000000000000001, 0.05000000000000001] ; [2.340518405468751, 2.452625000000001] ; [1.11539340546875, 1.227500000000001] ; [-0.05000000000000001, 0.05000000000000001])
([-0.05000000000000001, 0.05000000000000001] ; [-0.05000000000000001, 0.05000000000000001] ; [-0.05000000000000001, 0.05000000000000001] ; [1.2, 1.300000000000001] ; [-0.05000000000000001, 0.05000000000000001] ; [-0.05000000000000001, 0.05000000000000001] ; [2.452625, 2.755843437500002] ; [-1, -0.7970190624999998] ; [-0.05000000000000001, 0.05000000000000001])
([-0.05000000000000001, 0.05000000000000001] ; [-0.05000000000000001, 0.05000000000000001] ; [-0.05000000000000001, 0.05000000000000001] ; [1.2, 1.300000000000001] ; [-0.05000000000000001, 0.05000000000000001] ; [-0.05000000000000001, 0.05000000000000001] ; [2.452625, 2.514026733593751] ; [-0.7970190624999999, -0.6853795468749998] ; [-0.05000000000000001, 0.05000000000000001])
([-0.05000000000000001, 0.05000000000000001] ; [-0.05000000000000001, 0.05000000000000001] ; [-0.05000000000000001, 0.05000000000000001] ; [1.2, 1.300000000000001] ; [-0.05000000000000001, 0.05000000000000001] ; [-0.05000000000000001, 0.05000000000000001] ; [2.51402673359375, 2.589073296875001] ; [-0.7970190624999999, -0.6853795468749998] ; [-0.05000000000000001, 0.05000000000000001])
([-0.05000000000000001, 0.05000000000000001] ; [-0.05000000000000001, 0.05000000000000001] ; [-0.05000000000000001, 0.05000000000000001] ; [1.2, 1.300000000000001] ; [-0.05000000000000001, 0.05000000000000001] ; [-0.05000000000000001, 0.05000000000000001] ; [2.452625, 2.589073296875001] ; [-0.6853795468749999, -0.5489312499999997] ; [-0.05000000000000001, 0.05000000000000001])
([-0.05000000000000001, 0.05000000000000001] ; [-0.05000000000000001, 0.05000000000000001] ; [-0.05000000000000001, 0.05000000000000001] ; [1.2, 1.300000000000001] ; [-0.05000000000000001, 0.05000000000000001] ; [-0.05000000000000001, 0.05000000000000001] ; [2.589073296875, 2.755843437500002] ; [-0.7970190624999999, -0.5489312499999997] ; [-0.05000000000000001, 0.05000000000000001])
